year,pacfa_id,business_type,facility_name,address,city,state,zip_code,county,latitude,longitude
2014,,,All Aboard Animal Rescue,2613 Bradbury Court,Fort Collins ,,80521,Larimer County,40.569988,-105.125373
2018,,,All Aboard Animal Rescue,2613 Bradbury Court,Fort Collins ,,80521,Larimer County,40.569988,-105.125373
2020,,,All Aboard Animal Rescue,2613 Bradbury Court,Fort Collins ,,80521,Larimer County,40.569988,-105.125373
2021,,,All Aboard Animal Rescue,2613 Bradbury Court,Fort Collins ,,80521,Larimer County,40.569988,-105.125373
2022,,,All Aboard Animal Rescue,2613 Bradbury Court,Fort Collins ,,80521,Larimer County,40.569988,-105.125373
2023,,,All Aboard Animal Rescue,2613 Bradbury Court,Fort Collins ,,80521,Larimer County,40.569988,-105.125373
2019,,,All Aboard Animal Rescue ,,,,,,,
2015,,,All Aboard Animal Rescue & Shelter,1721 West Harmony Road Unit #104,Fort Collins,,80526,Weld County,40.588972,-105.082459
2016,,,All Aboard Animal Rescue & Shelter,1721 West Harmony Road Unit #104,Fort Collins,,80526,Larimer County,40.588972,-105.082459
2013,7093,,All Aboard Animal Rescue and Shelter,2613 Bradbury Court,Ft Collins,Co,80521.0,,,
2017,,Pet Animal Large Rescue,"All Aboard Animal Rescue and Shelter, Inc.",,Fort Collins,Co,80526,Larimer County,40.534366,-105.115142
Licensing,,Pet Animal Large Rescue,"All Aboard Animal Rescue and Shelter, Inc.",,Fort Collins,Co,80526,Larimer,40.534366,-105.115142
2017,,,All Breed Rescue & Training,,Colorado Springs,,80907,El Paso County,38.87773,-104.821147
2018,,,All Breed Rescue & Training,,Colorado Springs,,80907,El Paso County,38.87773,-104.821147
2019,,,All Breed Rescue & Training,,Colorado Springs,,80907,El Paso County,38.87773,-104.821147
2020,,,All Breed Rescue & Training,,Colorado Springs,,80907,El Paso County,38.87773,-104.821147
2021,,,All Breed Rescue & Training,,Colorado Springs,,80907,El Paso County,38.87773,-104.821147
2022,,,All Breed Rescue & Training,,Colorado Springs,,80907,El Paso County,38.87773,-104.821147
2011,6831,,All Ears Basset Sanctuary,8625 W. 1st Ave,Lakewood,Co,80226.0,Douglas County,39.521302,-104.951629
2012,6831.0,,All Ears Basset Sanctuary,8625 W. 1st Ave,Lakewood,Co,80226.0,Douglas County,39.521302,-104.951629
2013,6831,,All Ears Basset Sanctuary,8625 W. 1st Ave,Lakewood,Co,80226.0,Douglas County,39.521302,-104.951629
2014,6831,,All Ears Basset Sanctuary,3121 Red Haven Way,Littleton ,Co,80126,Douglas County,39.521302,-104.951629
2015,6831,,All Ears Basset Sanctuary,3121 Redhaven Way,Littleton ,Co,80126,Douglas County,39.521302,-104.951629
2022,,Pet Animal Small Rescue,All Mixed Up Dog Rescue,,Fort Morgan,Co,,Morgan,,
2023,,Pet Animal Small Rescue,All Mixed Up Dog Rescue,,Fort Morgan,Co,,Morgan,,
Licensing,,Pet Animal Small Rescue,All Mixed Up Dog Rescue,,Fort Morgan,Co,,Morgan,,
2017,,,All Paws Matter,,Englewood,,80110,Arapahoe County,39.6467,-105.007278
2020,,,All Paws Matter,,Englewood,,80110,Arapahoe County,39.6467,-105.007278
2018,,,All Paws Matter ,,,,,Arapahoe County,,
2019,,,All Paws Matter ,,,,,Arapahoe County,,
2022,,,All Points West GSP Rescue,,,,,,,
2019,,,All Points West German Shorthaired Pointer (GSP) Rescue,,,,,,,
2020,,Pet Animal Small Rescue,All Points West German Shorthaired Pointer Rescue,,Northglenn,Co,,Adams,,
2021,,Pet Animal Small Rescue,All Points West German Shorthaired Pointer Rescue,,Northglenn,Co,,Adams,,
2023,,Pet Animal Small Rescue,All Points West German Shorthaired Pointer Rescue,,Northglenn,Co,,Adams,,
Licensing,,Pet Animal Small Rescue,All Points West German Shorthaired Pointer Rescue,,Northglenn,Co,,Adams,,
2007,4427.0,,"All Star Pets, Llc",708 Main St.,Canon City,Co,81212.0,,,
2008,4427,,"All Star Pets, Llc",708 Main St.,Canon City,Co,81212.0,,,
2009,4427,,"All Star Pets, Llc",708 Main St.,Canon City,Co,81212.0,,,
2007,5230.0,Pet Animal Small Shelter,Almost Home Adoptions,7713 W. 92Nd Ave.,Westminster,Co,80021.0,Adams County,39.856434,-105.063376
2008,5230,Pet Animal Small Shelter,Almost Home Adoptions,7713 W. 92Nd Ave.,Westminster,Co,80021.0,Adams County,39.856434,-105.063376
2009,5230,Pet Animal Small Shelter,Almost Home Adoptions,7713 W. 92Nd Ave.,Westminster,Co,80021.0,Adams County,39.856434,-105.063376
2010,5230,Pet Animal Small Shelter,Almost Home Adoptions,7713 W. 92nd Ave.,Westminster,Co,80021.0,Adams County,39.856434,-105.063376
2014,5230,Pet Animal Small Shelter,Almost Home Adoptions,6010 W 88th Ave,Westminster ,Co,80031,Adams County,39.856434,-105.063376
2016,5230,Pet Animal Small Shelter,Almost Home Adoptions,6010 W 88th Ave,Westminster,Co,80031,Jefferson County,39.863462,-105.050335
2017,5230,Pet Animal Small Shelter,Almost Home Adoptions,6010 W 88th Ave,Westminster,Co,80031,Jefferson County,39.874619,-105.039583
2018,5230,Pet Animal Small Shelter,Almost Home Adoptions,6010 W 88th Ave,Westminster,Co,80031,Jefferson County,39.874619,-105.039583
2019,5230,Pet Animal Small Shelter,Almost Home Adoptions,6010 W 88th Ave,Westminster,Co,80031,Jefferson County,39.874619,-105.039583
2020,5230,Pet Animal Small Shelter,Almost Home Adoptions,6010 W 88th Ave,Westminster,Co,80031,Jefferson County,39.874619,-105.039583
2021,5230,Pet Animal Small Shelter,Almost Home Adoptions,6010 W 88th Ave,Westminster,Co,80031,Jefferson County,39.874619,-105.039583
2022,5230,Pet Animal Small Shelter,Almost Home Adoptions,6010 W 88th Ave,Westminster,Co,80031,Jefferson County,39.874619,-105.039583
2023,5230,Pet Animal Small Shelter,Almost Home Adoptions,6010 W 88th Ave,Westminster,Co,80031,Jefferson County,39.874619,-105.039583
Licensing,5230,Pet Animal Small Shelter,Almost Home Adoptions,6010 W 88th Ave,Westminster,Co,80031,Jefferson,39.874619,-105.039583
2011,6795,,Almost Home Adoptions for Rescued Cats,6010 W. 88th Ave.,Westminster,Co,80021.0,,,
2012,6795.0,,Almost Home Adoptions for Rescued Cats,6010 W. 88th Ave.,Westminster,Co,80021.0,,,
2013,6795,,Almost Home Adoptions for Rescued Cats,6010 W. 88th Ave.,Westminster,Co,80021.0,,,
2015,,,Almost Home Adoptions for rescued cats,6010 W. 88th Ave,,,80031,Jefferson County,,
2010,4855,,Alpha Humane Organization,8650 Country Rd,Monte Vista,Co,81144.0,,,
2007,515.0,,Alpine Meadows Ranch & Kennels,329 Holland Hills Rd.,Basalt,Co,81621.0,,,
2008,515,,Alpine Meadows Ranch & Kennels,329 Holland Hills Rd.,Basalt,Co,81621.0,,,
2019,,,American Bullmastiff Assoc. Rescue Inc,,,,,,,
2021,,Pet Animal Small Rescue,Amigos de los Animales Colorado,,Littleton,Co,,Jefferson,,
2022,,Pet Animal Small Rescue,Amigos de los Animales Colorado,,Littleton,Co,,Jefferson,,
2023,,Pet Animal Small Rescue,Amigos de los Animales Colorado,,Littleton,Co,,Jefferson,,
Licensing,,Pet Animal Small Rescue,Amigos de los Animales Colorado,,Littleton,Co,,Jefferson,,
2007,5477.0,,Angel's Nest Kennel,13800 Canter Rd.,Falcon,Co,80831.0,,,
2007,4541.0,,Angels With Paws,2540 Youngfield St.,Lakewood,Co,80215.0,Jefferson County,39.753347,-105.1424
2008,4541,,Angels With Paws,2540 Youngfield St.,Lakewood,Co,80215.0,Jefferson County,39.753347,-105.1424
2009,4541,,Angels With Paws,2540 Youngfield St.,Lakewood,Co,80215.0,Jefferson County,39.753347,-105.1424
2010,4541,,Angels With Paws,2540 Youngfield St.,Lakewood,Co,80215.0,Jefferson County,39.753347,-105.1424
2011,4541,,Angels With Paws,2540 Youngfield St.,Lakewood,Co,80215.0,Jefferson County,39.753347,-105.1424
2012,4541.0,,Angels With Paws,2540 Youngfield St.,Lakewood,Co,80215.0,Jefferson County,39.753347,-105.1424
2013,4541,,Angels With Paws,2540 Youngfield St.,Lakewood,Co,80215.0,Jefferson County,39.753347,-105.1424
2014,4541,,Angels With Paws,2540 Youngfield St,Lakewood ,Co,80215,Jefferson County,39.753347,-105.1424
2015,4541,,Angels With Paws,2540 Youngfield St,Lakewood ,Co,80215,Jefferson County,39.753347,-105.1424
2017,4541,,Angels With Paws,2540 Youngfield St,Lakewood,Co,80215,Jefferson County,39.743677,-105.115273
2016,,Pet Animal Small Shelter,Angels with Paws,,Lakewood,Co,80215,Jefferson County,39.710997,-105.088872
2018,,Pet Animal Small Shelter,Angels with Paws,,Lakewood,Co,80215,Jefferson County,39.710997,-105.088872
2019,,Pet Animal Small Shelter,Angels with Paws,,Lakewood,Co,80215,Jefferson County,39.710997,-105.088872
2020,,Pet Animal Small Shelter,Angels with Paws,,Lakewood,Co,80215,Jefferson County,39.710997,-105.088872
2021,,Pet Animal Small Shelter,Angels with Paws,,Lakewood,Co,80215,Jefferson County,39.710997,-105.088872
2022,,Pet Animal Small Shelter,Angels with Paws,,Lakewood,Co,80215,Jefferson County,39.710997,-105.088872
2023,,Pet Animal Small Shelter,Angels with Paws,,Lakewood,Co,80215,Jefferson County,39.710997,-105.088872
Licensing,,Pet Animal Small Shelter,Angels with Paws,,Lakewood,Co,80215,Jefferson,39.710997,-105.088872
2021,,Pet Animal Small Shelter,Animal Aid of Colorado,,Berthoud,Co,,Larimer,,
2022,,Pet Animal Small Shelter,Animal Aid of Colorado,,Berthoud,Co,,Larimer,,
2023,,Pet Animal Small Shelter,Animal Aid of Colorado,,Berthoud,Co,,Larimer,,
Licensing,,Pet Animal Small Shelter,Animal Aid of Colorado,,Berthoud,Co,,Larimer,,
2023,,,Animal Attraction,,,,,,,
2020,,,Animal Attraction LLC,,,,,,,
2021,,,Animal Attraction LLC,,,,,,,
2022,,,Animal Attraction LLC,,,,,,,
Licensing,,Pet Animal Small Shelter,"Animal Attraction, LLC",,Greeley,Co,,Weld,,
2007,1161.0,,Animal Clinic Of Julesburg,809 W 3Rd St.,Julesburg,Co,80737.0,,,
2008,1161,,Animal Clinic Of Julesburg,809 W 3Rd St.,Julesburg,Co,80737.0,,,
