year,pacfa_id,license_no,business_type,facility_name,address,city,state,zip_code,county,latitude,longitude,animal_type,measure,value
2007,4855.0,,,Animal Loving People Helping Animals (Alpha) Humane,0086 So. Rd. 1 East,Monte Vista,Co,81144.0,,,,Dog,Transfer Out,157
2007,689.0,,,"Animal Medical Center Of Estes Park, P.C.",1260 Manford Ave,Estes Park,Co,80517.0,,,,Cat,Adoption,1
2007,689.0,,,"Animal Medical Center Of Estes Park, P.C.",1260 Manford Ave,Estes Park,Co,80517.0,,,,Cat,Other Intake,16
2007,689.0,,,"Animal Medical Center Of Estes Park, P.C.",1260 Manford Ave,Estes Park,Co,80517.0,,,,Cat,Owner Relinquished,5
2007,689.0,,,"Animal Medical Center Of Estes Park, P.C.",1260 Manford Ave,Estes Park,Co,80517.0,,,,Dog,Adoption,18
2007,689.0,,,"Animal Medical Center Of Estes Park, P.C.",1260 Manford Ave,Estes Park,Co,80517.0,,,,Dog,Other Intake,69
2007,689.0,,,"Animal Medical Center Of Estes Park, P.C.",1260 Manford Ave,Estes Park,Co,80517.0,,,,Dog,Owner Relinquished,50
2007,689.0,,,"Animal Medical Center Of Estes Park, P.C.",1260 Manford Ave,Estes Park,Co,80517.0,,,,Dog,Transfer Out,1
2007,689.0,,,"Animal Medical Center Of Estes Park, P.C.",1260 Manford Ave,Estes Park,Co,80517.0,,,,Other,Other Intake,3
2007,689.0,,,"Animal Medical Center Of Estes Park, P.C.",1260 Manford Ave,Estes Park,Co,80517.0,,,,Other,Owner Relinquished,1
2007,626.0,,,Animal Rescue & Adoption Society,2390 S. Delaware,Denver,Co,80223.0,,,,Cat,Adoption,321
2007,626.0,,,Animal Rescue & Adoption Society,2390 S. Delaware,Denver,Co,80223.0,,,,Cat,Death,7
2007,626.0,,,Animal Rescue & Adoption Society,2390 S. Delaware,Denver,Co,80223.0,,,,Cat,Euthanasia,30
2007,626.0,,,Animal Rescue & Adoption Society,2390 S. Delaware,Denver,Co,80223.0,,,,Cat,Other Intake,285
2007,5292.0,,,Animal Rescue Foundation,1459 Cr 102,Carbondale,Co,81623.0,,,,Cat,Adoption,19
2007,5292.0,,,Animal Rescue Foundation,1459 Cr 102,Carbondale,Co,81623.0,,,,Cat,Other Intake,19
2007,5292.0,,,Animal Rescue Foundation,1459 Cr 102,Carbondale,Co,81623.0,,,,Dog,Adoption,81
2007,5292.0,,,Animal Rescue Foundation,1459 Cr 102,Carbondale,Co,81623.0,,,,Dog,Death,1
2007,5292.0,,,Animal Rescue Foundation,1459 Cr 102,Carbondale,Co,81623.0,,,,Dog,Other Intake,86
